,Player,Restricted Area Percentage,2FGM %AST,Interior scoring %,Drive vs Pullup Ratio,Drive Pass %,Avg Dribble Per Touch
140,Deni Avdija,0.6,58.9,0.47619047619047616,5.571428571428572,32.1,1.62
141,Dennis Schroder,0.5294117647058825,26.5,0.3851851851851852,2.7435897435897436,39.9,4.11
142,Dennis Smith Jr.,0.6578947368421053,32.9,0.6071428571428572,6.333333333333333,50.4,4.41
143,Denzel Valentine,0.28571428571428575,33.3,0.13793103448275862,2.0,56.0,1.36
144,Derrick Favors,0.6206896551724137,83.7,0.6792452830188679,0.0,0.0,0.16
145,Derrick Jones Jr.,0.8846153846153847,70.6,0.6071428571428572,inf,18.2,0.41
146,Derrick Rose,0.5555555555555555,25.9,0.4833333333333334,2.6666666666666665,41.2,4.09
147,Derrick Walton Jr.,0.5,0.0,0.2222222222222222,5.444444444444444,61.4,4.63
148,Derrick White,0.4693877551020407,40.1,0.393939393939394,3.6785714285714293,46.0,3.34
149,Desmond Bane,0.5192307692307693,59.6,0.28571428571428575,0.8833333333333333,31.4,1.75
150,Devin Booker,0.4084507042253521,39.9,0.2835820895522388,0.8220338983050847,32.4,3.65
151,Devin Cannady,0.4,0.0,0.0,0.4285714285714286,66.7,1.55
152,Devin Vassell,0.47058823529411764,67.2,0.2764227642276422,1.3333333333333335,37.1,1.23
153,Devon Dotson,0.9166666666666666,55.6,0.6923076923076923,8.333333333333334,57.1,3.59
154,Devontae Cacok,0.47619047619047616,66.7,0.9032258064516128,5.999999999999999,11.1,0.7
155,Devonte' Graham,0.5789473684210527,30.8,0.15126050420168066,1.108695652173913,55.7,3.47
156,Dewayne Dedmon,0.7272727272727273,71.0,0.6349206349206349,2.0,14.3,0.41
157,Didi Louzada,0.33333333333333337,33.3,0.05128205128205129,3.5000000000000004,68.4,1.44
158,Dillon Brooks,0.4886363636363636,47.0,0.48913043478260876,1.2222222222222223,17.9,2.15
159,Domantas Sabonis,0.7578947368421053,61.6,0.656084656084656,7.0,42.6,1.25
160,Donovan Mitchell,0.48235294117647054,17.7,0.362934362934363,1.5999999999999999,32.3,4.76
161,Donte DiVincenzo,0.6521739130434783,47.7,0.19999999999999998,2.4210526315789473,56.7,2.32
162,Dorian Finney-Smith,0.7666666666666666,76.6,0.32727272727272727,4.571428571428572,52.3,0.87
163,Doug McDermott,0.6176470588235293,85.0,0.3185840707964602,2.2666666666666666,28.0,0.78
164,Draymond Green,0.5476190476190477,71.4,0.6933333333333334,9.333333333333334,41.7,1.36
165,Drew Eubanks,0.5652173913043479,75.9,0.7532467532467533,1.6666666666666667,41.7,0.58
166,Duane Washington Jr.,0.6285714285714287,52.2,0.30303030303030304,2.0,29.3,2.23
167,Duncan Robinson,0.7272727272727273,82.8,0.11009174311926605,0.9,59.3,0.59
168,Dwight Howard,0.8484848484848485,67.5,0.6774193548387097,1.0,0.0,0.36
169,Dwight Powell,0.8837209302325582,85.5,0.7126436781609197,5.0,34.9,0.45
170,Dylan Windler,0.8333333333333334,81.3,0.36363636363636365,9.0,60.0,0.55
171,Ed Davis,0.8333333333333334,72.7,0.888888888888889,,0.0,0.42
172,Elfrid Payton,0.44827586206896547,27.0,0.7999999999999999,7.666666666666666,38.8,4.31
