,Player,Restricted Area Percentage
308,Jose Alvarado,0.5172413793103449
309,Josh Christopher,0.6153846153846154
310,Josh Giddey,0.4657534246575342
311,Josh Green,0.6818181818181818
312,Josh Hart,0.793103448275862
313,Josh Jackson,0.6799999999999999
314,Josh Okogie,0.9166666666666666
315,Josh Richardson,0.41379310344827586
316,Joshua Primo,0.5652173913043479
317,Jrue Holiday,0.5342465753424658
318,Juan Toscano-Anderson,0.7142857142857143
319,Juancho Hernangomez,0.8
320,Julius Randle,0.6363636363636364
321,Justin Anderson,0.6875
322,Justin Champagnie,0.8181818181818181
323,Justin Holiday,0.7999999999999999
324,Justin Jackson,0.0
325,Justin Robinson,0.4285714285714286
326,Justise Winslow,0.6
327,Jusuf Nurkic,0.717391304347826
328,Juwan Morgan,1.0
329,KZ Okpala,0.65
330,Kai Jones,0.6666666666666666
331,Karl-Anthony Towns,0.6326530612244897
332,Keifer Sykes,0.6842105263157895
333,Keita Bates-Diop,0.787878787878788
334,Kelan Martin,0.6818181818181818
335,Keldon Johnson,0.5205479452054794
336,Keljin Blevins,0.8
337,Kelly Olynyk,0.7647058823529411
338,Kelly Oubre Jr.,0.7111111111111111
339,Kemba Walker,0.5625
340,Kenrich Williams,0.625
341,Kent Bazemore,0.6363636363636362
342,Kentavious Caldwell-Pope,0.5357142857142857
343,Kenyon Martin Jr.,0.8222222222222223
344,Keon Johnson,0.6578947368421053
345,Kessler Edwards,0.7272727272727273
346,Kevin Durant,0.3243243243243243
347,Kevin Huerter,0.4117647058823529
348,Kevin Knox II,0.625
349,Kevin Love,0.5652173913043479
350,Kevin Pangos,0.28571428571428575
351,Kevin Porter Jr.,0.6470588235294118
352,Kevon Looney,0.8157894736842106
353,Khem Birch,0.5
354,Khris Middleton,0.425531914893617
355,Killian Hayes,0.47058823529411764
356,Killian Tillie,0.6666666666666667
357,Kira Lewis Jr.,0.6
358,Klay Thompson,0.38095238095238093
359,Kris Dunn,0.43636363636363634
360,Kristaps Porzingis,0.5362318840579711
361,Kyle Anderson,0.47826086956521746
362,Kyle Guy,0.5454545454545454
363,Kyle Kuzma,0.4848484848484849
364,Kyle Lowry,0.64
365,Kyrie Irving,0.3684210526315789
366,LaMarcus Aldridge,0.5116279069767441
367,LaMelo Ball,0.5675675675675675
368,Lamar Stevens,0.6666666666666666
369,Lance Stephenson,0.7241379310344827
370,Landry Shamet,0.5333333333333333
371,Langston Galloway,0.5
372,Larry Nance Jr.,0.7222222222222222
373,Lauri Markkanen,0.6521739130434783
374,LeBron James,0.819047619047619
375,Leandro Bolmaro,0.6666666666666667
376,Lindell Wigginton,0.6956521739130436
377,Lindy Waters III,0.6
378,Lonnie Walker IV,0.6571428571428571
379,Lonzo Ball,0.6799999999999999
380,Lou Williams,0.3181818181818181
381,Louis King,0.2
382,Luguentz Dort,0.5932203389830508
383,Luka Doncic,0.35789473684210527
384,Luka Garza,0.75
385,Luke Kennard,0.4117647058823529
386,Luke Kornet,0.7999999999999999
387,MJ Walker,0.6666666666666666
388,Mac McClung,1.0
389,Malachi Flynn,0.5384615384615385
390,Malcolm Brogdon,0.7368421052631579
391,Malcolm Hill,0.4285714285714286
392,Malik Beasley,0.6111111111111112
393,Malik Fitts,0.6666666666666666
394,Malik Monk,0.7045454545454545
395,Malik Newman,1.0
396,Mamadi Diakite,0.6
397,Marcus Garrett,0.7857142857142857
398,Marcus Morris Sr.,0.23529411764705882
399,Marcus Smart,0.4666666666666667
400,Markelle Fultz,0.5714285714285715
401,Markieff Morris,0.5416666666666666
402,Marko Simonovic,0.7272727272727273
403,Markus Howard,0.625
404,Marquese Chriss,0.8064516129032258
405,Marvin Bagley III,0.582089552238806
406,Mason Jones,0.8
407,Mason Plumlee,0.813953488372093
408,Matisse Thybulle,0.8695652173913044
409,Matt Mooney,
410,Matt Ryan,
411,Matt Thomas,0.0
412,Maurice Harkless,0.8125
413,Max Strus,0.8125
414,Maxi Kleber,0.7857142857142857
415,McKinley Wright IV,0.0
416,Melvin Frazier Jr.,0.7
417,Micah Potter,0.8846153846153847
418,Michael Porter Jr.,0.7027027027027027
419,Mikal Bridges,0.5283018867924528
420,Mike Conley,0.28260869565217395
421,Mike Muscala,0.6923076923076923
422,Miles Bridges,0.7325581395348837
423,Miles McBride,0.5714285714285715
424,Mitchell Robinson,0.9583333333333333
425,Miye Oni,1.0
426,Mo Bamba,0.7631578947368421
427,Monte Morris,0.6
